Geneid	SRR7821918	SRR7821919	SRR7821920	SRR7821921	SRR7821922	SRR7821923	SRR7821924	SRR7821925	SRR7821927	SRR7821937	SRR7821938	SRR7821939	SRR7821940	SRR7821941	SRR7821942
ENSMUSG00000102518	0	0	0	3	0	0	2	4	0	4	0	0	0	4	0
ENSMUSG00000099552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043230	122	125	116	123	129	56	384	66	58	583	537	653	260	516	580
ENSMUSG00000103404	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0
ENSMUSG00000026491	5391	6049	5410	6720	6459	4917	10639	7942	7375	6099	4478	7535	4374	5840	6965
ENSMUSG00000073486	0	0	0	1	0	2	0	0	0	0	4	0	0	2	2
ENSMUSG00000025917	3358	3331	2874	3853	3738	4532	4825	3243	3700	3941	2748	4085	2658	3350	3694
ENSMUSG00000104418	4	2	2	3	6	9	3	2	10	12	14	4	3	4	7
ENSMUSG00000026479	6171	7968	6592	8130	10363	10430	9276	8457	9803	11398	14091	16647	8369	9675	10529
ENSMUSG00000004364	5821	6635	5958	7709	6896	6406	10948	8358	7239	7910	2970	9078	5882	7365	8153
ENSMUSG00000103076	16	44	65	61	38	12	136	29	23	32	9	61	36	32	73
ENSMUSG00000103525	2	3	18	0	2	0	2	6	0	5	0	0	3	2	0
ENSMUSG00000101722	0	4	8	2	6	0	12	6	4	0	4	18	4	2	10
ENSMUSG00000090637	8	8	14	6	0	2	2	2	2	10	12	21	0	8	14
ENSMUSG00000026478	9192	12086	11141	14901	14747	10856	19808	11254	9610	20697	24188	22672	15061	18894	18713
ENSMUSG00000110100	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103818	5	8	9	1	0	4	24	2	3	5	6	2	16	8	2
ENSMUSG00000079138	1	2	3	4	5	4	5	0	4	0	0	0	4	0	0
ENSMUSG00000042708	26	21	16	26	8	6	41	0	4	44	15	65	19	22	37
ENSMUSG00000064435	1	0	0	0	0	0	3	0	0	0	0	6	0	1	2
ENSMUSG00000103543	3	0	0	2	0	0	6	0	0	2	4	7	5	5	13
ENSMUSG00000099432	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4
